"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"97","RT @therealroseanne: have you been threatened by fans of HRC? Tell us about it-#MeToo",FALSE,0,NA,2017-12-29 06:48:07,FALSE,NA,"946633913253765120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MrSpinkles",422,TRUE,FALSE,NA,NA
"98","RT @gerelleyyy: While at the same time this beautiful BoNa flirting was happening<ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Bomi really likes Naeun’s body<ed><U+00A0><U+00BD><ed><U+00B1><U+0080>
#metoo https://t.co/IURw…",FALSE,0,NA,2017-12-29 06:47:46,FALSE,NA,"946633827572596736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","farah_iwanii",20,TRUE,FALSE,NA,NA
"99","RT @MaureenShaw: Zero tolerance for sexual harassment. Period. Stand with Renato Mariotti for Illinois AG.  #Renato4AG #MeToo

https://t.co…",FALSE,0,NA,2017-12-29 06:47:23,FALSE,NA,"946633729081884672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dora_maxey",55,TRUE,FALSE,NA,NA
"100","RT @starsandstripes: The #MeToo demonstration will be held outside the Pentagon next month https://t.co/CQrWYgxzBg",FALSE,0,NA,2017-12-29 06:47:22,FALSE,NA,"946633724170444800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dallis_warshaw",22,TRUE,FALSE,NA,NA
"101","They just don’t want 2  come forward bcause it’s not worth the time. It’s not like Harvey Weinstein #MeToo it’s har… https://t.co/VB9d8oq8lY",FALSE,0,NA,2017-12-29 06:46:47,TRUE,NA,"946633577747316736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PreyingSoul",0,FALSE,FALSE,NA,NA
"102","RT @jmflatham: @CNBC The tone deafness of this article during the #metoo movement. It’s not about Hillary, the backlash is telling an accom…",FALSE,0,NA,2017-12-29 06:46:40,FALSE,NA,"946633548705939457",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thepoliticalcat",41,TRUE,FALSE,NA,NA
"103","@phillipoung @benthompson Good point. It's like they threw in an Asian too into the clown plot just for kicks. Ever… https://t.co/nOjbpmkXEY",FALSE,0,"phillipoung",2017-12-29 06:46:32,TRUE,"946623148824305664","946633515298205696","2735082871","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PhantasmKirk",0,FALSE,FALSE,NA,NA
"104","Tips to survive &amp; heal. Continue Still Breathing. https://t.co/5mv3rKPJHg via @YouTube #MeToo #MenToo #mentalhealth… https://t.co/WLIyYOtUmZ",FALSE,1,NA,2017-12-29 06:45:29,TRUE,NA,"946633251623522311",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoeBraxtonTouch",1,FALSE,FALSE,NA,NA
"105","This is a guy/family I have in the #MeToo deathpool. The first cut is a trickle, the next is a flood https://t.co/LcH7RoXsCW",FALSE,3,NA,2017-12-29 06:45:29,FALSE,NA,"946633250906296320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jpq1999",0,FALSE,FALSE,NA,NA
"106","RT @WILPublication: Download a free copy now! From #MeToo&amp; trailblazing women; to @phumzileunwomen on Leave No One Behind; and #ShamiChakra…",FALSE,0,NA,2017-12-29 06:45:02,FALSE,NA,"946633136905031680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","StevenOlds1",1091,TRUE,FALSE,NA,NA
"107","What are the boundaries of victim-blaming? https://t.co/3RhFO2xmsp #MeToo #rape #sexualassault #alcohol #college",FALSE,0,NA,2017-12-29 06:44:23,FALSE,NA,"946632975197921280",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheAugustan",0,FALSE,FALSE,NA,NA
"108","RT @movietvtechgeek: UPDATE: Latest: How #MeToo changed history for women and put fear into men https://t.co/ACq5fNSBsS #Politics #MovieTVT…",FALSE,0,NA,2017-12-29 06:44:21,FALSE,NA,"946632964904927235",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YhVPIXDBo9EcAuO",921,TRUE,FALSE,NA,NA
"109","What Went Wrong With Men That 12 Million Women Said  #metoo via @yesmagazine",FALSE,0,NA,2017-12-29 06:44:05,FALSE,NA,"946632898643312640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","coachshera",0,FALSE,FALSE,NA,NA
"110","RT @jmflatham: @CNBC The tone deafness of this article during the #metoo movement. It’s not about Hillary, the backlash is telling an accom…",FALSE,0,NA,2017-12-29 06:44:03,FALSE,NA,"946632890267328517",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LEISUREGODDESS",41,TRUE,FALSE,NA,NA
"111","RT @SafeHorizon: ""At this #MeToo moment — in light of profound public understanding why victims delay, sometimes for years, reporting their…",FALSE,0,NA,2017-12-29 06:43:19,FALSE,NA,"946632706221252608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ColleenMatson",9,TRUE,FALSE,NA,NA
"112","RT @toniyksi: listen and believe #metoo #ThotLiesMatter https://t.co/tpwnG10KRH",FALSE,0,NA,2017-12-29 06:43:00,FALSE,NA,"946632627917692928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DKshad0w",2,TRUE,FALSE,NA,NA
"113","Pause for thought for supporters of the #MeToo campaign... https://t.co/WtAKR0izVm",FALSE,0,NA,2017-12-29 06:42:50,FALSE,NA,"946632584963883008",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","nick_rose96",0,FALSE,FALSE,NA,NA
"114","RT @toniyksi: listen and believe #metoo #ThotLiesMatter https://t.co/tpwnG10KRH",FALSE,0,NA,2017-12-29 06:42:27,FALSE,NA,"946632487152652289",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MadShangi",2,TRUE,FALSE,NA,NA
"115","RT @TonyMwebia: Involve men to catalyze #EndFGM fight!! https://t.co/7pclsT0xWG #MenENDFGM #heforshe #MeToo #Women #WomenAndGirls #EndChild…",FALSE,0,NA,2017-12-29 06:41:46,FALSE,NA,"946632315278692352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KasiitaMark",4,TRUE,FALSE,NA,NA
"116","RT @TonyMwebia: Involve men to catalyze #EndFGM fight!! https://t.co/7pclsT0xWG #MenENDFGM #heforshe #MeToo #Women #WomenAndGirls #EndChild…",FALSE,0,NA,2017-12-29 06:41:20,FALSE,NA,"946632208604942336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YouthAGBV",4,TRUE,FALSE,NA,NA
"117","RT @movietvtechgeek: UPDATE: Latest: How #MeToo changed history for women and put fear into men https://t.co/ACq5fNSBsS #Politics #MovieTVT…",FALSE,0,NA,2017-12-29 06:41:14,FALSE,NA,"946632182642159621",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iberrsus",921,TRUE,FALSE,NA,NA
"118","RT @TonyMwebia: Involve men to catalyze #EndFGM fight!! https://t.co/7pclsT0xWG #MenENDFGM #heforshe #MeToo #Women #WomenAndGirls #EndChild…",FALSE,0,NA,2017-12-29 06:40:48,FALSE,NA,"946632074110255104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","youths4women",4,TRUE,FALSE,NA,NA
"119","Tonight I actively called a grown man who was hitting on me and my 21 year old friend an “asshole” and I’ve never felt more empowered #MeToo",FALSE,0,NA,2017-12-29 06:40:48,FALSE,NA,"946632071518318592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","robinsonjamiec1",0,FALSE,FALSE,NA,NA
"120","RT @ork_brand: i was raped by my rabbi and when i told the police about it they called me a nazi and raped me again #metoo",FALSE,0,NA,2017-12-29 06:40:42,FALSE,NA,"946632048130719744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NukeMelbourne",2,TRUE,FALSE,NA,NA
"121","RT @TonyMwebia: Involve men to catalyze #EndFGM fight!! https://t.co/7pclsT0xWG #MenENDFGM #heforshe #MeToo #Women #WomenAndGirls #EndChild…",FALSE,0,NA,2017-12-29 06:40:15,FALSE,NA,"946631933446025216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SDG5In4mer",4,TRUE,FALSE,NA,NA
"122","Involve men to catalyze #EndFGM fight!! https://t.co/7pclsT0xWG #MenENDFGM #heforshe #MeToo #Women #WomenAndGirls… https://t.co/9D9VCV6FvI",FALSE,8,NA,2017-12-29 06:39:12,TRUE,NA,"946631672363192320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TonyMwebia",4,FALSE,FALSE,NA,NA
"123","@SFGate Oh fuck me. So a guy tried to kiss this woman. Big whoop. What was the context? Did she protest at the mome… https://t.co/6Evde8ppIf",FALSE,0,"SFGate",2017-12-29 06:39:09,TRUE,"946630342391226368","946631658874093568","36511031","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MAGC707",0,FALSE,FALSE,NA,NA
"124","@Lizakam7 @rutembesatweets Don't worry 
He's on the wrong side of history
This movement is much stronger

#Nanjye… https://t.co/knrY6gktQd",FALSE,0,"Lizakam7",2017-12-29 06:39:06,TRUE,"946631158451834880","946631645578366976","2720634073","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JumumuPhoto",0,FALSE,FALSE,NA,NA
"125","@Alyssa_Milano @HannahDrake628 You are allowed to have a voice. I love that you are an activist and speak your mind… https://t.co/S2DRzVSrDP",FALSE,0,"Alyssa_Milano",2017-12-29 06:38:59,TRUE,"946565328720470016","946631614343274496","26642006","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","grogancali67",0,FALSE,FALSE,NA,NA
"126","RT @CNNLADavid: 2017 was the year of #WonderWoman... and the year of #MeToo. I talked with @ArkhamAsylumDoc @melsil and @MargotRobbie about…",FALSE,0,NA,2017-12-29 06:38:23,FALSE,NA,"946631466615652352",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","larrynemecek",6,TRUE,FALSE,NA,NA
"127","By God, if women had written stories,
As clerks had within here oratories,
They would have written of men more wick… https://t.co/LB6AYpJJNo",FALSE,1,NA,2017-12-29 06:38:11,TRUE,NA,"946631414002475008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alan_poirier",0,FALSE,FALSE,NA,NA
"128","@Love_The_Donald @GDouglasJones When will you see we as women have the power to overturn what ever. Keep supporting… https://t.co/cJocbunhjM",FALSE,0,"Love_The_Donald",2017-12-29 06:38:00,TRUE,"946458925943029760","946631368204681216","574822364","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blackinsidelaw1",0,FALSE,FALSE,NA,NA
"129","RT @WomenVictoria: #metoo brought to the forefront the urgent need for women’s leadership in the workplace. In 2017 we welcomed our first J…",FALSE,0,NA,2017-12-29 06:37:41,FALSE,NA,"946631290182189056",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mariorustan",7,TRUE,FALSE,NA,NA
"130","RT @WILPublication: Download a free copy now! From #MeToo&amp; trailblazing women; to @phumzileunwomen on Leave No One Behind; and #ShamiChakra…",FALSE,0,NA,2017-12-29 06:37:28,FALSE,NA,"946631235379404801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JasonVidafar",1091,TRUE,FALSE,NA,NA
"131","RT @WILPublication: Download a free copy now! From #MeToo&amp; trailblazing women; to @phumzileunwomen on Leave No One Behind; and #ShamiChakra…",FALSE,0,NA,2017-12-29 06:37:21,FALSE,NA,"946631205683785728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bulmarketindia",1091,TRUE,FALSE,NA,NA
"132","#MeToo Recently stayed at place where husband verbally abused wife both nights. Sweet lady.  I wrote this in what i… https://t.co/JIPW3m5bIh",FALSE,0,NA,2017-12-29 06:35:53,TRUE,NA,"946630836983537664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HollyDay42",0,FALSE,FALSE,NA,NA
"133","@Alyssa_Milano #metoo I was 19 and was drugged and raped by a much older guy",FALSE,0,"Alyssa_Milano",2017-12-29 06:35:09,FALSE,"919659438700670976","946630651272486912","26642006","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CPancoe",0,FALSE,FALSE,NA,NA
"134","Whoa!
Talk about #metoo

The shame of Afghanistan's virginity tests - https://t.co/slKzze5mj9",FALSE,0,NA,2017-12-29 06:35:01,FALSE,NA,"946630617915183104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","capseyes_cappy",0,FALSE,FALSE,NA,NA
"135","RT @VivaLaPurge: So after Joy Villa is done attacking Corey Lewandowski with her VAGilante #MeToo bullshit will she go after Trump?
If you'…",FALSE,0,NA,2017-12-29 06:34:50,FALSE,NA,"946630571865858048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JT73504819",396,TRUE,FALSE,NA,NA
"136","Australian dramatic arts workers defend Geoffrey Rush, denounce #MeToo witch-hunt https://t.co/HnxQfa7zWY #ourabc… https://t.co/guyFjTtTO9",FALSE,0,NA,2017-12-29 06:33:57,TRUE,NA,"946630348649070593",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","philbertous",0,FALSE,FALSE,NA,NA
